suite,impl,parallelism,grid_size,repetition,wall_time_ms,iters_done,max_error
threads,threads,8,2000,10,181678.829,12106565,1.9658e-07
threads,threads,12,100,1,537.436,30849,2.1374e-05
threads,threads,12,200,1,2120.820,122171,5.5016e-06
threads,threads,12,500,1,13490.437,758964,1.0035e-06
threads,threads,12,1000,1,56718.615,3029711,3.5760e-07
threads,threads,12,2000,1,262992.086,12106565,1.9658e-07
threads,threads,12,100,2,528.062,30849,2.1374e-05
threads,threads,12,200,2,2111.218,122171,5.5016e-06
threads,threads,12,500,2,13452.715,758964,1.0035e-06
threads,threads,12,1000,2,56745.200,3029711,3.5760e-07
threads,threads,12,2000,2,263234.116,12106565,1.9658e-07
threads,threads,12,100,3,527.627,30849,2.1374e-05
threads,threads,12,200,3,2110.245,122171,5.5016e-06
threads,threads,12,500,3,13441.654,758964,1.0035e-06
threads,threads,12,1000,3,56857.548,3029711,3.5760e-07
threads,threads,12,2000,3,262705.520,12106565,1.9658e-07
threads,threads,12,100,4,531.344,30849,2.1374e-05
threads,threads,12,200,4,2110.730,122171,5.5016e-06
threads,threads,12,500,4,13451.734,758964,1.0035e-06
threads,threads,12,1000,4,56750.654,3029711,3.5760e-07
threads,threads,12,2000,4,263345.750,12106565,1.9658e-07
threads,threads,12,100,5,529.955,30849,2.1374e-05
threads,threads,12,200,5,2105.150,122171,5.5016e-06
threads,threads,12,500,5,13456.565,758964,1.0035e-06
threads,threads,12,1000,5,56873.242,3029711,3.5760e-07
threads,threads,12,2000,5,263393.686,12106565,1.9658e-07
threads,threads,12,100,6,526.976,30849,2.1374e-05
threads,threads,12,200,6,2109.049,122171,5.5016e-06
threads,threads,12,500,6,13449.475,758964,1.0035e-06
threads,threads,12,1000,6,56771.259,3029711,3.5760e-07
threads,threads,12,2000,6,263191.397,12106565,1.9658e-07
threads,threads,12,100,7,529.474,30849,2.1374e-05
threads,threads,12,200,7,2108.304,122171,5.5016e-06
threads,threads,12,500,7,13442.232,758964,1.0035e-06
threads,threads,12,1000,7,56775.843,3029711,3.5760e-07
threads,threads,12,2000,7,263638.572,12106565,1.9658e-07
threads,threads,12,100,8,528.715,30849,2.1374e-05
threads,threads,12,200,8,2107.598,122171,5.5016e-06
threads,threads,12,500,8,13428.584,758964,1.0035e-06
threads,threads,12,1000,8,56921.664,3029711,3.5760e-07
threads,threads,12,2000,8,263179.819,12106565,1.9658e-07
threads,threads,12,100,9,527.347,30849,2.1374e-05
threads,threads,12,200,9,2106.016,122171,5.5016e-06
threads,threads,12,500,9,13402.554,758964,1.0035e-06
threads,threads,12,1000,9,56635.342,3029711,3.5760e-07
threads,threads,12,2000,9,263084.218,12106565,1.9658e-07
threads,threads,12,100,10,526.409,30849,2.1374e-05
threads,threads,12,200,10,2101.832,122171,5.5016e-06
threads,threads,12,500,10,13390.045,758964,1.0035e-06
threads,threads,12,1000,10,56697.636,3029711,3.5760e-07
threads,threads,12,2000,10,262657.147,12106565,1.9658e-07
