suite,impl,parallelism,grid_size,repetition,wall_time_ms,iters_done,max_error
processes,processes,8,200,6,2176.210,304667,5.3840e-06
processes,processes,8,500,6,18328.084,2412516,8.7374e-07
processes,processes,8,1000,6,97220.106,11483271,2.1942e-07
processes,processes,8,100,7,550.375,76035,2.1253e-05
processes,processes,8,200,7,2070.998,289529,5.4226e-06
processes,processes,8,500,7,17922.875,2355078,8.7892e-07
processes,processes,8,1000,7,116670.638,13757506,2.1633e-07
processes,processes,8,100,8,538.732,74259,2.1263e-05
processes,processes,8,200,8,2283.960,320368,5.3725e-06
processes,processes,8,500,8,18710.304,2451802,8.6943e-07
processes,processes,8,1000,8,99477.422,11722939,2.1835e-07
processes,processes,8,100,9,501.710,69105,2.1343e-05
processes,processes,8,200,9,2335.755,327132,5.3687e-06
processes,processes,8,500,9,18544.987,2443576,8.7209e-07
processes,processes,8,1000,9,93597.995,11037815,2.2382e-07
processes,processes,8,100,10,562.484,77217,2.1251e-05
processes,processes,8,200,10,2044.420,285075,5.4456e-06
processes,processes,8,500,10,16494.355,2166152,9.2753e-07
processes,processes,8,1000,10,116166.658,13665239,2.1635e-07
processes,processes,12,100,1,795.912,78576,2.1250e-05
processes,processes,12,200,1,3070.911,300780,5.4026e-06
processes,processes,12,500,1,23955.298,2213136,8.7862e-07
processes,processes,12,1000,1,114413.125,9461940,2.3888e-07
processes,processes,12,100,2,724.090,71423,2.1315e-05
processes,processes,12,200,2,3185.604,311195,5.3870e-06
processes,processes,12,500,2,22581.335,2087522,9.0212e-07
processes,processes,12,1000,2,112752.926,9335217,2.4500e-07
processes,processes,12,100,3,777.981,76663,2.1258e-05
processes,processes,12,200,3,3280.217,319613,5.3784e-06
processes,processes,12,500,3,24358.039,2254609,8.7389e-07
processes,processes,12,1000,3,123514.787,10208339,2.2229e-07
processes,processes,12,100,4,777.574,76839,2.1256e-05
processes,processes,12,200,4,2892.879,283384,5.4718e-06
processes,processes,12,500,4,21933.515,2031368,9.2662e-07
processes,processes,12,1000,4,143253.147,11837526,2.1663e-07
processes,processes,12,100,5,774.697,76154,2.1260e-05
processes,processes,12,200,5,2968.101,290189,5.4363e-06
processes,processes,12,500,5,22369.455,2070908,9.0830e-07
processes,processes,12,1000,5,124252.036,10295795,2.2140e-07
processes,processes,12,100,6,756.897,74990,2.1267e-05
processes,processes,12,200,6,3202.824,313315,5.3835e-06
processes,processes,12,500,6,24033.051,2226618,8.7681e-07
processes,processes,12,1000,6,112101.691,9276991,2.4879e-07
processes,processes,12,100,7,765.816,75737,2.1261e-05
processes,processes,12,200,7,3361.423,329578,5.3707e-06
processes,processes,12,500,7,23028.248,2131211,8.9116e-07
processes,processes,12,1000,7,125928.150,10418382,2.1987e-07
processes,processes,12,100,8,812.193,80216,2.1245e-05
processes,processes,12,200,8,2994.351,293285,5.4266e-06
processes,processes,12,500,8,22556.966,2083860,9.0182e-07
processes,processes,12,1000,8,108919.229,9031325,2.6556e-07
processes,processes,12,100,9,782.176,77128,2.1253e-05
processes,processes,12,200,9,3157.736,309212,5.3908e-06
processes,processes,12,500,9,27064.323,2498721,8.6476e-07
processes,processes,12,1000,9,109451.341,9054418,2.6579e-07
processes,processes,12,100,10,741.160,73359,2.1281e-05
processes,processes,12,200,10,2957.610,289207,5.4419e-06
processes,processes,12,500,10,24436.470,2259956,8.7307e-07
processes,processes,12,1000,10,107050.923,8850089,2.8244e-07
